PRISM Time Series Data
Locations: 31
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1951-01 - 1965-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2018-Nov-13
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
SD241782,-120.6667,36.5839,331.0,1951-01,31.26,1.9,7.7,13.5
SD241782,-120.6667,36.5839,331.0,1951-02,37.41,2.2,9.3,16.4
SD241782,-120.6667,36.5839,331.0,1951-03,10.66,3.0,11.5,20.0
SD241782,-120.6667,36.5839,331.0,1951-04,18.29,6.4,15.3,24.2
SD241782,-120.6667,36.5839,331.0,1951-05,1.21,9.2,18.9,28.7
SD241782,-120.6667,36.5839,331.0,1951-06,0.00,11.6,22.4,33.3
SD241782,-120.6667,36.5839,331.0,1951-07,0.00,13.1,24.9,36.7
SD241782,-120.6667,36.5839,331.0,1951-08,0.00,13.2,24.6,36.1
SD241782,-120.6667,36.5839,331.0,1951-09,0.00,11.9,23.0,34.2
SD241782,-120.6667,36.5839,331.0,1951-10,12.69,8.4,17.3,26.3
SD241782,-120.6667,36.5839,331.0,1951-11,34.74,4.7,12.6,20.5
SD241782,-120.6667,36.5839,331.0,1951-12,96.36,1.6,7.5,13.5
SD241782,-120.6667,36.5839,331.0,1952-01,68.58,0.8,6.8,12.8
SD241782,-120.6667,36.5839,331.0,1952-02,22.56,2.4,9.3,16.3
SD241782,-120.6667,36.5839,331.0,1952-03,74.43,2.4,9.2,16.1
SD241782,-120.6667,36.5839,331.0,1952-04,37.05,6.2,14.8,23.4
SD241782,-120.6667,36.5839,331.0,1952-05,0.00,9.3,19.7,30.1
SD241782,-120.6667,36.5839,331.0,1952-06,0.00,9.9,19.9,29.9
SD241782,-120.6667,36.5839,331.0,1952-07,0.00,15.3,26.3,37.3
SD241782,-120.6667,36.5839,331.0,1952-08,0.00,13.1,24.6,36.2
SD241782,-120.6667,36.5839,331.0,1952-09,2.11,13.0,23.5,33.9
SD241782,-120.6667,36.5839,331.0,1952-10,0.00,10.1,19.6,29.2
SD241782,-120.6667,36.5839,331.0,1952-11,32.34,3.2,11.1,18.9
SD241782,-120.6667,36.5839,331.0,1952-12,95.95,3.4,8.9,14.3
SD241782,-120.6667,36.5839,331.0,1953-01,13.82,3.9,10.1,16.4
SD241782,-120.6667,36.5839,331.0,1953-02,1.53,0.9,9.6,18.3
SD241782,-120.6667,36.5839,331.0,1953-03,14.08,2.1,11.1,20.1
SD241782,-120.6667,36.5839,331.0,1953-04,23.19,5.6,14.4,23.2
SD241782,-120.6667,36.5839,331.0,1953-05,7.84,6.9,15.7,24.5
SD241782,-120.6667,36.5839,331.0,1953-06,2.80,10.5,20.3,30.2
SD241782,-120.6667,36.5839,331.0,1953-07,0.00,15.6,26.8,38.1
SD241782,-120.6667,36.5839,331.0,1953-08,0.00,12.8,22.8,32.8
SD241782,-120.6667,36.5839,331.0,1953-09,0.00,14.1,23.6,33.1
